,code,name,industry,area,net_profits,profits_yoy,pe,totals,esp,timeToMarket,Frist_price,Frist_high_day,Frist_high_price,low_bet_fh_h_day,low_price_bet_fh_h_price,high_day,high/low_price,high/FH,ma20/FH
51,002848,高斯贝尔,通信设备,湖南,702.23,-78.77,302.6,1.67,0.042,20170213,7.57,18,3.90885072655,5 days 00:00:00.000000000,-0.0993003229279,9 days 00:00:00.000000000,0.12040633403,0.00914962325081,-0.581673842842
52,603330,上海天洋,塑料,上海,1607.13,-59.67,99.23,0.6,0.28,20170213,26.19,12,1.63764795724,2 days 00:00:00.000000000,-0.0348870874349,35 days 00:00:00.000000000,0.318134093295,0.272148233932,-0.490981470759
53,603839,安正时尚,服饰,浙江,20459.66,18.72,24.37,2.89,0.76,20170214,24.16,8,0.81332781457,18 days 00:00:00.000000000,-0.109335768089,9 days 00:00:00.000000000,0.148385443362,0.0228258388496,-0.457635243095
54,300615,欣天科技,元器件,深圳,2107.03,-52.59,82.21,0.8,0.263,20170215,17.24,13,2.27784222738,3 days 00:00:00.000000000,-0.00902495133605,22 days 00:00:00.000000000,0.107857142857,0.0978587860556,-0.43836489117
55,601212,白银有色,铜,甘肃,22928.56,1.71,162.17,69.73,0.033,20170215,2.14,20,5.65887850467,3 days 00:00:00.000000000,-0.0428070175439,3 days 00:00:00.000000000,0.180351906158,0.129824561404,-0.536842105263
56,300609,汇纳科技,互联网,上海,3300.36,77.62,82.59,1.01,0.33,20170215,9.74,22,6.18788501027,4 days 00:00:00.000000000,-0.0499928581631,4 days 00:00:00.000000000,0.0795369117426,0.025567776032,-0.486530495643
57,603817,海峡环保,环境保护,福建,7782.19,22.87,55.6,4.5,0.18,20170220,5.82,20,3.61855670103,3 days 00:00:00.000000000,-0.022693452381,2 days 00:00:00.000000000,0.0502474305291,0.0264136904762,-0.522395833333
58,300613,富瀚微,半导体,上海,8082.02,-14.06,72.78,0.45,1.93,20170220,66.77,17,3.22854575408,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.276634554084
59,600939,重庆建工,建筑施工,重庆,18588.65,-15.53,56.37,18.15,0.102,20170221,3.74,15,3.27807486631,1 days 00:00:00.000000000,-0.011875,9 days 00:00:00.000000000,0.350411132195,0.334375,-0.54875
60,603345,安井食品,食品,福建,13910.27,9.23,29.64,2.16,0.68,20170222,16.01,12,1.72954403498,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.450938215103
61,603238,诺邦股份,纺织,浙江,3572.0,-22.47,56.16,1.2,0.32,20170222,19.17,12,1.60980699009,4 days 00:00:00.000000000,-0.0805516689986,9 days 00:00:00.000000000,0.0982608695652,0.00979412352588,-0.546092344593
62,300619,金银河,专用机械,广东,3953.66,90.69,62.19,0.75,0.56,20170301,13.18,19,5.37936267071,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.47194338725
63,002850,科达利,机械基件,深圳,16785.78,2.47,35.7,1.4,1.199,20170302,45.24,12,1.96198054819,3 days 00:00:00.000000000,-0.0447014925373,2 days 00:00:00.000000000,0.0546832278728,0.00753731343284,-0.534335820896
64,603138,海量数据,软件服务,北京,4434.9,41.5,73.61,1.07,0.44,20170306,14.39,19,4.42043085476,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.402935897436
65,603578,三星新材,玻璃,浙江,4277.6,,47.14,0.88,0.51,20170306,17.65,15,2.79603399433,3 days 00:00:00.000000000,-0.0289552238806,1 days 00:00:00.000000000,0.0759299108515,0.044776119403,-0.514029850746
66,603991,至正股份,塑料,上海,2049.93,1.33,76.98,0.75,0.3,20170308,12.73,16,4.01492537313,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.564332706767
67,603955,大千生态,环境保护,江苏,5473.03,37.56,48.62,0.87,0.69,20170310,18.31,14,2.78481703987,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.402251082251
68,002853,皮阿诺,家居用品,广东,6985.75,55.73,62.31,1.55,0.49,20170310,37.24,13,2.76638023631,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.76701839441
69,300620,光库科技,元器件,广东,4199.09,33.02,56.08,0.88,0.52,20170310,14.95,15,2.94648829431,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.346186440678
70,603630,拉芳家化,日用化工,广东,9867.16,-3.77,35.55,1.74,0.62,20170313,26.48,12,1.60196374622,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.603875181422
71,603665,康隆达,纺织,浙江,6506.61,-15.42,43.59,1.0,0.71,20170313,25.68,11,1.82710280374,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.549269972452
72,300623,捷捷微电,半导体,江苏,11261.15,27.44,39.95,0.94,1.203,20170314,33.16,12,2.4246079614,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.394496301515
73,300622,博士眼镜,其他商业,深圳,3771.67,41.16,42.26,0.86,0.48,20170315,11.8,13,2.76694915254,5 days 00:00:00.000000000,-0.0438695163105,2 days 00:00:00.000000000,0.0541176470588,0.00787401574803,-0.423217097863
74,603811,诚意药业,化学制药,浙江,4561.75,1.06,43.09,0.85,0.58,20170315,18.91,11,2.11316763617,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.481246815016
